configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,103.346,103.346,0.0,103.346,103.346,103.346,103.346
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,117.805,117.805,0.0,117.805,117.805,117.805,117.805
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,105.952,105.952,0.0,105.952,105.952,105.952,105.952
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,102.929,102.929,0.0,102.929,102.929,102.929,102.929
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,104.297,104.297,0.0,104.297,104.297,104.297,104.297
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,106.959,106.959,0.0,106.959,106.959,106.959,106.959
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,107.569,107.569,0.0,107.569,107.569,107.569,107.569
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,127.165,127.165,0.0,127.165,127.165,127.165,127.165
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,133.84,133.84,0.0,133.84,133.84,133.84,133.84
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,104.12,104.12,0.0,104.12,104.12,104.12,104.12
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,109.251,109.251,0.0,109.251,109.251,109.251,109.251
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,103.042,103.042,0.0,103.042,103.042,103.042,103.042
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,105.352,105.352,0.0,105.352,105.352,105.352,105.352
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,118.472,118.472,0.0,118.472,118.472,118.472,118.472
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,103.557,103.557,0.0,103.557,103.557,103.557,103.557
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,117.491,117.491,0.0,117.491,117.491,117.491,117.491
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,104.637,104.637,0.0,104.637,104.637,104.637,104.637
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,110.633,110.633,0.0,110.633,110.633,110.633,110.633
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,101.315,101.315,0.0,101.315,101.315,101.315,101.315
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,107.204,107.204,0.0,107.204,107.204,107.204,107.204
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,125.544,125.544,0.0,125.544,125.544,125.544,125.544
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,117.913,117.913,0.0,117.913,117.913,117.913,117.913
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,103.787,103.787,0.0,103.787,103.787,103.787,103.787
